"","format(time, ""%Y-%m"")","energy_type","sum_energy"
"126","2015-06","generation.wind.onshore",3145981
"127","2015-07","generation.biomass",762582
"128","2015-07","generation.fossil.brown.coal.lignite",509060
"129","2015-07","generation.fossil.coal.derived.gas",0
"130","2015-07","generation.fossil.gas",4857941
"131","2015-07","generation.fossil.hard.coal",5020861
"132","2015-07","generation.fossil.oil",268014
"133","2015-07","generation.fossil.oil.shale",0
"134","2015-07","generation.fossil.peat",0
"135","2015-07","generation.geothermal",0
"136","2015-07","generation.hydro.pumped.storage.aggregated",0
"137","2015-07","generation.hydro.pumped.storage.consumption",232892
"138","2015-07","generation.hydro.run.of.river.and.poundage",550493
"139","2015-07","generation.hydro.water.reservoir",1794919
"140","2015-07","generation.marine",0
"141","2015-07","generation.nuclear",4823816
"142","2015-07","generation.other",60968
"143","2015-07","generation.other.renewable",50834
"144","2015-07","generation.solar",1468463
"145","2015-07","generation.waste",181146
"146","2015-07","generation.wind.offshore",0
"147","2015-07","generation.wind.onshore",2942709
"148","2015-08","generation.biomass",772194
"149","2015-08","generation.fossil.brown.coal.lignite",435811
"150","2015-08","generation.fossil.coal.derived.gas",0
"151","2015-08","generation.fossil.gas",3660102
"152","2015-08","generation.fossil.hard.coal",4359372
"153","2015-08","generation.fossil.oil",240992
"154","2015-08","generation.fossil.oil.shale",0
"155","2015-08","generation.fossil.peat",0
"156","2015-08","generation.geothermal",0
"157","2015-08","generation.hydro.pumped.storage.aggregated",0
"158","2015-08","generation.hydro.pumped.storage.consumption",425290
"159","2015-08","generation.hydro.run.of.river.and.poundage",523919
"160","2015-08","generation.hydro.water.reservoir",1460519
"161","2015-08","generation.marine",0
"162","2015-08","generation.nuclear",4789757
"163","2015-08","generation.other",60857
"164","2015-08","generation.other.renewable",50723
"165","2015-08","generation.solar",1293779
"166","2015-08","generation.waste",173274
"167","2015-08","generation.wind.offshore",0
"168","2015-08","generation.wind.onshore",3612993
"169","2015-09","generation.biomass",744634
"170","2015-09","generation.fossil.brown.coal.lignite",394620
"171","2015-09","generation.fossil.coal.derived.gas",0
"172","2015-09","generation.fossil.gas",3655139
"173","2015-09","generation.fossil.hard.coal",4070789
"174","2015-09","generation.fossil.oil",247314
"175","2015-09","generation.fossil.oil.shale",0
