"","merge_df$weather_desc","avg_energy","avg_price","prc_renew"
"1","Claro",27753.4637621024,60.1443368828654,35.4885472380827
"2","Llovizna",29289.430974478,57.0051972157773,39.207037397641
"3","Niebla",30637.8037037037,58.4845185185185,43.962022502328
"4","Nieve",29048.8300909405,55.7390089106065,40.4071513123457
"5","Nublado",28776.2326552194,56.7766450679941,38.2714132738543
"6","Tormenta",28426.7271853987,61.3160710854947,36.3106510584664
"7",NA,28582.8357735481,58.454118328456,37.3890179829018
